dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
Golden Plains Unified,2,122.5,0.0,2.0,122.5,15.0
Reef-Sunset Unified,2,157.0,0.1429,2.0,157.0,15.0
Fontana Unified,6,920.6666666666666,0.30978333333333335,8.0,730.875,15.75
Mojave Unified,2,125.0,0.33985,2.0,89.5,16.0
Firebaugh-Las Deltas Unified,2,168.5,0.07139999999999999,2.0,168.5,16.0
Compton Unified,6,407.3333333333333,0.16598333333333332,6.0,407.3333333333333,16.333333333333332
SBE - Academia Avance Charter,2,65.0,0.1429,2.0,65.0,17.0
Dinuba Unified,2,480.5,0.32170000000000004,2.0,480.5,17.0
Le Grand Union High,2,98.5,0.2391,2.0,98.5,17.0
San Joaquin County Office of Education,2,544.5,0.23869999999999997,2.0,544.5,17.0
Centinela Valley Union High,4,835.25,0.20555,4.0,835.25,17.0
Lynwood Unified,3,634.0,0.20210000000000003,3.0,634.0,17.0
Farmersville Unified,2,193.0,0.10644999999999999,2.0,193.0,17.0
Inglewood Unified,5,260.8,0.19404,5.0,260.8,17.0
Oro Grande,2,382.0,0.3297,2.0,382.0,17.0
Delhi Unified,2,167.0,0.1707,2.0,167.0,17.0
Gonzales Unified,2,186.5,0.16670000000000001,2.0,186.5,17.0
Gustine Unified,2,147.5,0.16670000000000001,2.0,147.5,17.0
Mendota Unified,2,228.5,0.1594,2.0,228.5,17.0
Cutler-Orosi Joint Unified,2,264.5,0.1475,2.0,264.5,17.0
Soledad Unified,2,388.5,0.1844,2.0,388.5,17.0
South Monterey County Joint Union High,3,348.6666666666667,0.17846666666666666,3.0,348.6666666666667,17.0
Kings Canyon Joint Unified,4,280.75,0.28554999999999997,4.0,280.75,17.5
Lennox,3,197.33333333333334,0.29773333333333335,3.0,197.33333333333334,17.666666666666668
