dname,num_schools_in_district_sat,pctmathbenchmark12_mean_sat,avgscrmath_mean_act
Golden Plains Unified,2,0.0,15.0
Firebaugh-Las Deltas Unified,2,0.07139999999999999,16.0
Farmersville Unified,2,0.10644999999999999,17.0
SBE - Academia Avance Charter,2,0.1429,17.0
Reef-Sunset Unified,2,0.1429,15.0
Cutler-Orosi Joint Unified,2,0.1475,17.0
Mendota Unified,2,0.1594,17.0
Compton Unified,6,0.16598333333333332,16.333333333333332
Gustine Unified,2,0.16670000000000001,17.0
Gonzales Unified,2,0.16670000000000001,17.0
Delhi Unified,2,0.1707,17.0
South Monterey County Joint Union High,3,0.17846666666666666,17.0
Soledad Unified,2,0.1844,17.0
Inglewood Unified,5,0.19404,17.0
Lynwood Unified,3,0.20210000000000003,17.0
Centinela Valley Union High,4,0.20555,17.0
San Joaquin County Office of Education,2,0.23869999999999997,17.0
Le Grand Union High,2,0.2391,17.0
