dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
San Diego County Office of Education,1,631.0,0.0,2.0,355.5,24.0
Golden Plains Unified,2,122.5,0.0,2.0,122.5,15.0
Firebaugh-Las Deltas Unified,2,168.5,0.07139999999999999,2.0,168.5,16.0
McFarland Unified,2,206.0,0.1061,2.0,206.0,19.0
Farmersville Unified,2,193.0,0.10644999999999999,2.0,193.0,17.0
Moreno Valley Unified,8,618.75,0.1134,5.0,912.0,19.8
Paramount Unified,3,852.6666666666666,0.12783333333333333,2.0,1208.0,21.0
SBE - Academia Avance Charter,2,65.0,0.1429,2.0,65.0,17.0
Reef-Sunset Unified,2,157.0,0.1429,2.0,157.0,15.0
Pierce Joint Unified,2,105.0,0.1429,2.0,105.0,19.0
Cutler-Orosi Joint Unified,2,264.5,0.1475,2.0,264.5,17.0
Twin Rivers Unified,10,379.4,0.15501,3.0,982.0,19.0
Mendota Unified,2,228.5,0.1594,2.0,228.5,17.0
Compton Unified,6,407.3333333333333,0.16598333333333332,6.0,407.3333333333333,16.333333333333332
Gustine Unified,2,147.5,0.16670000000000001,2.0,147.5,17.0
Gonzales Unified,2,186.5,0.16670000000000001,2.0,186.5,17.0
Delhi Unified,2,167.0,0.1707,2.0,167.0,17.0
South Monterey County Joint Union High,3,348.6666666666667,0.17846666666666666,3.0,348.6666666666667,17.0
Norwalk-La Mirada Unified,5,559.8,0.17994,4.0,659.5,18.25
Soledad Unified,2,388.5,0.1844,2.0,388.5,17.0
Val Verde Unified,4,758.5,0.19115,2.0,1073.0,19.0
Inglewood Unified,5,260.8,0.19404,5.0,260.8,17.0
Hamilton Unified,2,88.0,0.2,2.0,88.0,18.0
Lynwood Unified,3,634.0,0.20210000000000003,3.0,634.0,17.0
Centinela Valley Union High,4,835.25,0.20555,4.0,835.25,17.0
Pomona Unified,8,420.875,0.2200375,6.0,540.0,18.333333333333332
Calipatria Unified,2,91.0,0.22219999999999998,2.0,91.0,19.0
Konocti Unified,2,166.0,0.22235000000000002,1.0,211.0,18.0
Covina-Valley Unified,5,425.2,0.22688000000000003,3.0,597.3333333333334,20.666666666666668
Kern County Office of Education,2,355.0,0.22835,2.0,355.0,18.0
Chowchilla Union High,2,269.0,0.23260000000000003,2.0,269.0,20.0
Coachella Valley Unified,5,482.2,0.23565999999999998,4.0,587.0,18.25
San Joaquin County Office of Education,2,544.5,0.23869999999999997,2.0,544.5,17.0
Le Grand Union High,2,98.5,0.2391,2.0,98.5,17.0
West Contra Costa Unified,12,413.4166666666667,0.24185,10.0,452.2,18.8
