dname,num_schools_in_district_sat,enroll12_mean_sat,pctmathbenchmark12_mean_sat,num_schools_in_district_act,enroll12_mean_act,avgscrmath_mean_act
ABC Unified,5,619.8,0.67252,5.0,619.8,25.2
Acalanes Union High,5,557.4,0.83378,5.0,557.4,27.2
Alameda Unified,6,290.3333333333333,0.5706166666666667,3.0,538.3333333333334,26.0
Albany City Unified,2,301.5,0.8509,2.0,301.5,27.0
Alhambra Unified,4,914.0,0.69295,4.0,914.0,24.25
Alvord Unified,4,702.25,0.41075,4.0,702.25,19.75
Amador County Unified,3,180.0,0.6607666666666667,3.0,180.0,23.0
Anaheim Union High,10,1030.0,0.50827,9.0,1097.888888888889,21.666666666666668
Anderson Union High,3,262.0,0.4494,2.0,329.0,21.5
Antelope Valley Union High,10,1040.0,0.32875,10.0,1040.0,18.7
Antioch Unified,4,668.75,0.41264999999999996,4.0,668.75,20.25
Apple Valley Unified,4,526.25,0.4116,2.0,818.5,20.0
Arcadia Unified,2,843.0,0.88125,2.0,843.0,28.0
Atascadero Unified,2,316.5,0.65175,2.0,316.5,25.0
Azusa Unified,3,408.3333333333333,0.40273333333333333,3.0,408.3333333333333,19.333333333333332
Baldwin Park Unified,4,795.5,0.3498,3.0,856.3333333333334,19.666666666666668
Banning Unified,2,288.0,0.3425,2.0,288.0,18.0
Barstow Unified,2,356.5,0.4318,2.0,356.5,19.0
Bassett Unified,2,269.5,0.3846,2.0,269.5,22.0
Beaumont Unified,2,693.5,0.2866,2.0,693.5,20.0
Bellflower Unified,3,590.6666666666666,0.5246,2.0,702.5,22.0
Benicia Unified,2,384.5,0.75,2.0,384.5,25.0
Berkeley Unified,2,767.5,0.73355,2.0,767.5,25.0
Beverly Hills Unified,2,414.0,0.8069,2.0,414.0,27.0
Bishop Unified,2,145.5,0.5472,2.0,145.5,22.0
Bonita Unified,3,553.3333333333334,0.5526333333333334,3.0,553.3333333333334,22.666666666666668
Brawley Union High,2,422.0,0.2901,2.0,422.0,18.0
Brea-Olinda Unified,2,491.0,0.7524500000000001,2.0,491.0,26.0
Burbank Unified,3,833.6666666666666,0.7245333333333334,3.0,833.6666666666666,24.666666666666668
Cabrillo Unified,2,237.0,0.5714,2.0,237.0,25.0
Calaveras Unified,2,202.5,0.7027,2.0,202.5,24.0
Calexico Unified,2,820.0,0.5361,2.0,820.0,21.0
Calipatria Unified,2,91.0,0.22219999999999998,2.0,91.0,19.0
Campbell Union High,6,647.3333333333334,0.6718500000000001,6.0,647.3333333333334,24.833333333333332
Capistrano Unified,8,1177.25,0.732525,8.0,1177.25,25.375
Carlsbad Unified,3,581.6666666666666,0.7715,3.0,581.6666666666666,25.333333333333332
Carmel Unified,2,211.0,0.7797,2.0,211.0,25.0
Carpinteria Unified,2,157.5,0.6939,2.0,157.5,22.0
Castro Valley Unified,2,690.5,0.7814,2.0,690.5,25.0
Centinela Valley Union High,4,835.25,0.20555,4.0,835.25,17.0
Central Unified,2,1004.5,0.2586,2.0,1004.5,20.0
Central Union High,3,624.6666666666666,0.4261,3.0,624.6666666666666,19.666666666666668
Ceres Unified,4,482.5,0.315625,2.0,727.0,18.0
Chaffey Joint Union High,10,1173.7,0.44932999999999995,9.0,1300.6666666666667,21.11111111111111
Charter Oak Unified,2,384.0,0.53515,2.0,384.0,22.0
Chawanakee Unified,3,87.0,0.26843333333333336,2.0,112.5,20.0
Chico Unified,4,551.5,0.7318499999999999,3.0,704.0,24.0
Chino Valley Unified,6,802.5,0.36923333333333336,5.0,939.4,22.8
Chowchilla Union High,2,269.0,0.23260000000000003,2.0,269.0,20.0
Chula Vista Elementary,3,137.66666666666666,0.27886666666666665,1.0,228.0,18.0
Claremont Unified,2,603.5,0.6881999999999999,2.0,603.5,24.0
Clovis Unified,6,1058.5,0.6200166666666667,6.0,1058.5,23.833333333333332
Coachella Valley Unified,5,482.2,0.23565999999999998,4.0,587.0,18.25
Colton Joint Unified,4,762.5,0.36769999999999997,4.0,762.5,19.5
Compton Unified,6,407.3333333333333,0.16598333333333332,6.0,407.3333333333333,16.333333333333332
Conejo Valley Unified,4,859.5,0.773925,4.0,859.5,26.0
Contra Costa County Office of Education,3,445.3333333333333,0.5403666666666667,3.0,445.3333333333333,22.0
Corcoran Joint Unified,2,178.0,0.3469,2.0,178.0,18.0
Corning Union High,2,217.0,0.6,2.0,217.0,18.0
Corona-Norco Unified,7,1207.857142857143,0.5582714285714286,7.0,1207.857142857143,21.142857142857142
Coronado Unified,2,292.5,0.7590999999999999,2.0,292.5,25.0
Cotati-Rohnert Park Unified,3,316.0,0.5481666666666666,3.0,316.0,22.666666666666668
Covina-Valley Unified,5,425.2,0.22688000000000003,3.0,597.3333333333334,20.666666666666668
Culver City Unified,2,541.0,0.5393,2.0,541.0,22.0
Cutler-Orosi Joint Unified,2,264.5,0.1475,2.0,264.5,17.0
Davis Joint Unified,3,458.0,0.8641333333333333,2.0,643.0,28.0
Dehesa Elementary,1,469.0,0.3846,1.0,469.0,20.0
Delano Joint Union High,4,490.75,0.375475,4.0,490.75,20.25
Delhi Unified,2,167.0,0.1707,2.0,167.0,17.0
Desert Sands Unified,5,918.2,0.36108,5.0,918.2,19.4
Dinuba Unified,2,480.5,0.32170000000000004,2.0,480.5,17.0
Dixon Unified,2,278.0,0.6596,2.0,278.0,21.0
Downey Unified,3,1347.3333333333333,0.48216666666666663,3.0,1347.3333333333333,22.666666666666668
Duarte Unified,3,231.33333333333334,0.43529999999999996,3.0,231.33333333333334,21.0
Dublin Unified,2,658.5,0.7897,2.0,658.5,28.0
East Side Union High,19,672.6315789473684,0.4626789473684211,13.0,871.4615384615385,22.0
El Dorado Union High,5,623.0,0.75704,5.0,623.0,24.0
El Monte Union High,6,728.0,0.5027166666666667,6.0,728.0,21.166666666666668
El Rancho Unified,2,661.5,0.35645000000000004,2.0,661.5,19.0
El Segundo Unified,2,305.5,0.6738,2.0,305.5,24.0
Elk Grove Unified,10,977.3,0.57127,10.0,977.3,22.6
Escalon Unified,2,194.5,0.47619999999999996,2.0,194.5,21.0
Escondido Union High,7,687.5714285714286,0.5141857142857142,7.0,687.5714285714286,21.571428571428573
Eureka City Schools,2,306.5,0.569,2.0,306.5,23.0
Exeter Unified,2,206.0,0.34,2.0,206.0,20.0
Fairfield-Suisun Unified,5,573.2,0.50042,3.0,827.6666666666666,22.666666666666668
Fallbrook Union High,2,510.5,0.5024,2.0,510.5,22.0
Farmersville Unified,2,193.0,0.10644999999999999,2.0,193.0,17.0
Fillmore Unified,2,274.0,0.5259,2.0,274.0,23.0
Firebaugh-Las Deltas Unified,2,168.5,0.07139999999999999,2.0,168.5,16.0
Folsom-Cordova Unified,4,749.0,0.7171500000000001,4.0,749.0,25.25
Fontana Unified,6,920.6666666666666,0.30978333333333335,8.0,730.875,15.75
Fort Bragg Unified,2,113.0,0.5903,2.0,113.0,22.0
Fortuna Union High,3,168.0,0.6073666666666667,2.0,228.5,22.5
Fremont Unified,6,804.8333333333334,0.8121499999999999,6.0,804.8333333333334,29.166666666666668
Fremont Union High,6,916.3333333333334,0.8887166666666667,6.0,916.3333333333334,30.333333333333332
Fresno Unified,12,697.5,0.3411166666666667,10.0,808.9,19.2
Fullerton Joint Union High,7,947.4285714285714,0.6351571428571429,7.0,947.4285714285714,24.571428571428573
Galt Joint Union High,3,365.6666666666667,0.4812,3.0,365.6666666666667,20.666666666666668
Garden Grove Unified,8,875.25,0.5465625000000001,7.0,939.7142857142857,21.857142857142858
Gilroy Unified,4,451.75,0.567275,3.0,581.0,22.666666666666668
Glendale Unified,5,746.2,0.7762399999999999,4.0,845.0,25.25
Glendora Unified,2,615.0,0.8184999999999999,2.0,615.0,24.0
Golden Plains Unified,2,122.5,0.0,2.0,122.5,15.0
Golden Valley Unified,2,155.0,0.4894,2.0,155.0,22.0
Gonzales Unified,2,186.5,0.16670000000000001,2.0,186.5,17.0
Gridley Unified,2,166.5,0.5348999999999999,2.0,166.5,24.0
Grossmont Union High,12,905.75,0.5983166666666667,12.0,905.75,22.25
Gustine Unified,2,147.5,0.16670000000000001,2.0,147.5,17.0
Hacienda la Puente Unified,5,541.6,0.31062,4.0,619.75,21.75
Hamilton Unified,2,88.0,0.2,2.0,88.0,18.0
Hanford Joint Union High,4,427.0,0.41045,3.0,511.0,19.666666666666668
Hawthorne,2,112.0,0.6563,2.0,112.0,21.0
Hayward Unified,6,499.1666666666667,0.4215166666666667,5.0,531.4,19.4
Healdsburg Unified,2,148.5,0.617,2.0,148.5,22.0
Hemet Unified,7,496.7142857142857,0.27868571428571426,5.0,664.2,19.8
Hesperia Unified,5,708.6,0.30606,5.0,708.6,19.0
Hilmar Unified,2,160.0,0.3478,2.0,160.0,20.0
Holtville Unified,2,144.5,0.36895,2.0,144.5,20.0
Huntington Beach Union High,7,1130.857142857143,0.7106857142857143,7.0,1130.857142857143,24.285714285714285
Imperial Unified,2,279.0,0.4359,2.0,279.0,21.0
Inglewood Unified,5,260.8,0.19404,5.0,260.8,17.0
Irvine Unified,5,991.4,0.90244,5.0,991.4,28.6
